Article Unique Id,Satire Flag,Full Text,,,,,,,,WPS,pronoun,ppron,ipron,prep,verb,conj,adverb,adj,negemo,Period,Comma,Colon,SemiC,QMark,Exclam,Quote,Absurd,Humor

4,0,"Updated, 9:59 p.m. | Gov. Scott Walker of Wisconsin, whose early glow as a
Republican presidential contender was snuffed out with the rise of anti-establishment
rivals, announced Monday that he was quitting the race and urged some of his 15
rivals to do the same so the party could unite against the leading candidate, Donald J.
Trump.
Mr. Walker..È pointed rebuke of Mr. Trump gave powerful voice to the private
fears of many Republicans that the party risked alienating large parts of the electorate
... Hispanics, women, immigrants, veterans, and most recently, Muslims ... if Mr.
Trump continued vilifying or mocking them as part of his overtures to angry and
disaffected voters.
Still, Mr. Walker..È exit was not a selfless sacrifice: He was running low on
campaign cash, sliding sharply in opinion polls, losing potential donors to rivals and
unnerving supporters with a stream of gaffes, like saying he would consider building a
wall along the Canadian border.
Appearing ashen and drained at a brief news conference late Monday in Madison,
Mr. Walker said the Republican presidential field was too focused on ...how bad things
are.. rather than on ...how we can make them better for everyone... Without naming
Mr. Trump, Mr. Walker issued a plea to fellow candidates to coalesce around a
different Republican who could offer a more ...optimistic.. vision and guide the party to
a victory next year that, he admitted with sadness in his voice, he could not achieve
himself.
...Today I believe that I am being called to lead by helping to clear the field in this
race so that a positive, conservative message can rise to the top of the field,.. Mr.
Walker said. ...With this in mind, I will suspend my campaign immediately.
...I encourage other Republican presidential candidates to consider doing the
same,.. he said, ...so that the voters can focus on a limited number of candidates who
can offer a positive, conservative alternative to the current front-runner...
None of Mr. Walker..È rivals appeared poised to take him up on the suggestion of
bowing out, though they expressed surprise he was withdrawing so soon. ...Holy cow,..
Senator Ted Cruz of Texas said on Fox News.
Mr. Trump, in a Twitter post, was magnanimous: ...I got to know @ScottWalker
well ... he..È a very nice person and has a great future...
Mr. Walker..È departure is likely to have little impact given the sprawling field. He
was competing most aggressively in Iowa, which he deemed a must-win state, but he
had fallen from first place to 10th in a recent poll.
And Mr. Walker..È message ... a tale of conservative triumph over labor unions
and other entrenched Democratic interests in a Midwestern swing state ... plainly
failed to connect. He drew support from less than one-half of 1 percent of Republican
primary voters in a recent CNN national poll.
And while Mr. Walker had built a loyal but small network of major donors,
including wealthy Republicans like Todd Ricketts ... whose father founded TD
Ameritrade ... he was never a force in the Republican race for money, running far
behind rivals like former Gov. Jeb Bush of Florida and Mr. Cruz.
If the demise of Mr. Walker..È campaign emphasizes anything, it is the intense
pressure that candidates are under to raise enormous sums of money not only for
their political operations but also for their ...super PACs...
Mr. Bush raised more than $100 million in the first half of 2015, providing him
with enormous resources to compete in a potentially long and costly nomination fight.
Mr. Walker helped raise about $20 million for his super PAC and $6 million more for
a related campaign committee, but Walker advisers were believed to be burning
through cash. (His campaign finances will not be made public until mid-October.)
The need to raise money has had the effect of turning the traditional state-bystate
nomination fights into national contests, in which candidates need to prove
themselves to donors across the country rather than merely win over voters in the
handful of states that hold the earliest caucuses and primaries. Mr. Walker
increasingly tailored his message for Iowans, taking some sharply conservative stands
on issues like immigration and same-sex marriage that posed problems with
moderates.
...In a different era, Governor Walker could have won the nomination if all he had
to worry about was trying to win Iowa, New Hampshire, South Carolina, and
Nevada,.. said Matt Moore, the chairman of the South Carolina Republican Party. ...But
now that the presidential race has become so nationalized, so early, a candidate can
run into big trouble if they peak too early and can..È show donors and voters
everywhere that they can recapture momentum...
As recently as this weekend, Mr. Walker was telling supporters like Mr. Ricketts
that he was committed to the race and looking for ways to save money and jump-start
his campaign after a middling performance in Wednesday..È Republican debate. But
advisers said that several factors had been weighing on him for weeks and contributed
to his decision to quit.
Mr. Walker was particularly anxious about accumulating a huge campaign debt
that he would struggle for years to pay off unless he won the Republican nomination.
Compared with Mr. Trump, Carly Fiorina and Mr. Bush, Mr. Walker is a man of
modest means: His father was a preacher and his mother was a part-time secretary,
and he has earned government salaries for most of his adult life. He was not in a
strong position to lend money to his own campaign, advisers said, nor inclined to do
so.
Yet campaign bills were piling up, with some vendors complaining that they had
not been paid on time. Jeff Kaufmann, chairman of the Iowa Republican Party, said
that Mr. Walker was at a disadvantage in a large field of wealthy Republicans who had
personal, family or business connections to wealthy contributors.
...Scott Walker was a lot like the typical American in terms of personal finances ...
he couldn..È write himself a big check,.. Mr. Kaufmann said. ...Nothing eats away at a
candidate from average means like anxieties about massive campaign debts...
Some advisers and donors also complained that Mr. Walker..È campaign manager,
Rick Wiley, had built up a sizable organization in Madison but had devoted too little
money and staffing to crucial field operations. Mr. Wiley did not respond to requests
for comment.
Mr. Walker did start off as a particular favorite of prominent Republicans like the
billionaire industrialists Charles G. and David H. Koch, who both believed that Mr.
Walker was a tough, committed conservative who not only took on fights but also won
them, as shown in his success cutting taxes and hobbling labor unions in Wisconsin.
Yet if Mr. Walker..È record was inspiring, his abilities as a presidential candidate
were ultimately limited. He had verbal slip-ups almost from the start, like saying he
could defeat the Islamic State because he had won the battle against union leaders at
home. And he came across as flat and lacking in sophistication in the televised
debates.
...Scott, for whatever reason, didn..È connect on TV,.. said Stan Hubbard, a
Minnesota-based television station owner and a major Walker donor. ...And if you
can..È make it on television today in national politics, you..Èe dead...
Robert F. List, the former Nevada governor who was chairman of Mr. Walker..È
campaign in the state, said Mr. Walker suffered especially because of the ascent of
charismatic outsider candidates, pointing to Mr. Trump, Mrs. Fiorina and Ben
Carson.
...I attribute the difficulty here to the outsiders sucking up oxygen and diluting the
support for the other candidates,.. Mr. List said. He added that other campaigns had
reached out to solicit his support. ...My phone,.. Mr. List said, ...is ringing...",,,,,,,,24.87,8.35,5.1,3.25,15.08,11.37,5.96,3.09,5.96,2.01,6.96,5.72,0.31,0,0,0,2.86,0,0

5,0,"There will be no more flip jokes about her private email server. There will be no rope lines to
wall off crowds, which added to an impression of aloofness. And there will be new efforts to
bring spontaneity to a candidacy that sometimes seems wooden and overly cautious.
Hillary Rodham Clinton declared her campaign for president nearly five months ago, before the
startling rise of Senator Bernie Sanders, the volcanic candidacy of Donald J. Trump and the
very public exploration of another White House run by Vice President Joseph R. Biden Jr.
In extensive interviews by telephone and at their Brooklyn headquarters last week, Mrs.
Clinton..È strategists acknowledged missteps ... such as their slow response to questions about
her email practices ... and promised that this fall the public would see the sides of Mrs. Clinton
that are often obscured by the noise and distractions of modern campaigning.
They want to show her humor. The self-effacing kind (...The hair is real, the color isn..È,.. she said
of her blond bob recently, taking note of Mr. Trump.) has played better than her sarcastic retorts,
such as when she asked if wiping a computer server was done ...with a cloth...
They want to show her heart, like the time she comforted former drug addicts in a school
meeting room in New Hampshire.
And, to soothe Democrats uneasy about her shaky poll numbers, they want her to relentlessly
contrast herself with Republicans, saying she is at her best when showing willingness to do
battle.
...The true game changer is when there..È a personified opponent,.. said her communications
director, Jennifer Palmieri.
It is not clear whether any of these efforts can help Mrs. Clinton revamp her candidacy and
regain momentum amid persistent questions about her use of a private email server at the State
Department and an electorate in the early nominating states that seems increasingly captivated
by the insurgent candidacy of Mr. Sanders.
Previous attempts to introduce Mrs. Clinton..È softer side to voters have backfired amid criticism
that the efforts seemed overly poll tested. This time the strategy will compete with news
coverage on the latest developments over her email.
...The same force and energy that is giving a lift to Donald Trump is dooming Hillary Clinton, and
that is authenticity,.. said Eric Fehrnstrom, a Republican strategist and former aide to Mitt
Romney. ...Experience does not matter to them. What matters is you appear genuine...
Several of Mrs. Clinton..È top strategists, speaking from a corner office at the campaign..È
Brooklyn headquarters with shabby mix-and-match chairs andexpansive views of Manhattan,
repeatedly expressed confidence about Mrs. Clinton..È standing, saying that any candidate,
Republican or Democrat, would love to trade places with her. Still, the landscape beyond does
not seem so sunny, with recent polls showing an increasing number of voters do not trust Mrs.
Clinton or believe she understands their problems.
Even as the interview unfolded, one of Mrs. Clinton..È closest advisers, Cheryl D. Mills, prepared
to be questioned by a congressional committee in Washington exploring the 2012 attacks in
Benghazi, Libya.
In an ABC News/Washington Post poll released Wednesday, 45 percent of Americans said they
had a favorable impression of Mrs. Clinton and 53 percent said they viewed her unfavorably.
That is a weakening since July, when 52 percent had a positive view and 45 percent a negative
one.
Robby Mook, Mrs. Clinton..È campaign manager, sought to play down the polls..Èfindings, saying:
...Even if you accept the ABC poll, our favorability is higher than any Republican...È.ÈOther changes are in store for the campaign after Labor Day. After a focus group in New
Hampshire last month revealed that voters wanted to hear directly from Mrs. Clinton about her
email practices, she has sought to offer a more contrite tone, though her detractors say she is
still too grudging. (In an interview with The Associated Press on Monday, Mrs. Clinton said she
did not need to apologize for using a private email server. ...What I did was allowed,.. she said. ...It
was allowed by the State Department. The State Department has confirmed that...)
While Mrs. Clinton..È central message will remain focused on addressing income inequality and
lifting the middle class, she is scrapping the phrase ...everyday Americans,.. which advisers said
was confusing and did not resonate. (One compared it to the Walmart slogan, ...everyday low
prices...)
Mrs. Clinton will still evoke the joy brought into her life by her granddaughter, Charlotte, but,
given the child..È obvious advantages and privilege, will speak more broadly about building a
better future for all Americans..Èchildren and grandchildren.
And former President Bill Clinton, who has had virtually no presence on the campaign trail, will
begin to travel the country to help with fund-raising this fall, with his first event planned for
Chicago on Sept. 17.
Democrats have expressed concern that in some ways, the often reserved former first lady,
senator and secretary of state does not seem aligned with the mood of the electorate this cycle,
with voters flocking to anti-establishment firebrands like Mr. Sanders and Mr. Trump. Her
campaign strategists, however, believe voters..Èfrustration stems from a sense that Washington is not working for them and not necessarily with
the establishment.
Ms. Palmieri summed up the theme, repeating a line Mrs. Clinton had first offered last month:
...She said ...I want to be the president who addresses the problems in the headlines and the ones
that keep you up at night...È.È.ÈNext month contains two big tests for Mrs. Clinton. The first Democratic debate is Oct. 13,
putting her on stage alongside Mr. Sanders and other candidates eager to tangle with her. And
scrutiny of Mrs. Clinton..È private email use will intensify as she prepares to testify before the
House Select Committee on Benghazi on Oct. 22.
While many of Mrs. Clinton..È aides still contend that the issues surrounding her email are
overhyped, they also now realize the campaign was too slow to take responsibility for what
happened and explain the intricacies clearly.
...Part of this is saying we understand Americans don..È always hear all the facts, and they want to
see their candidates saying they made a mistake and being contrite,..È.Èsaid Thomas R. Nides, a
former State Department aide and friend to Mrs. Clinton.
The coming months will also be a period of trying to shed her scriptedness, which is not easy for
the policy-driven Mrs. Clinton, who in this campaign can easily be upstaged by the celebrity of
Mr. Trump and the giant crowds attracted by Mr. Sanders.
On Thursday, Mrs. Clinton will appear on ...The Ellen DeGeneres Show,..È.Èa prfogram on which
she previously participated in a bowl-off against the host. She is also booked as a guest on ...The
Tonight Show.. with Jimmy Fallon, and plans to talk extensively with several nontraditional
outlets. The campaign has even tried to make the best out of the private emails released by the
State Department, saying details revealed in the messages, like Mrs. Clinton..È TV preferences
(...The Good Wife.. and ...Parks and Recreation..) help humanize her.
Mrs. Clinton will focus on larger events and backyard parties with supporters that allow her to
show a more informal side, aides said. Still, Democrats add, there is only so much Mrs. Clinton
can do, given her well-known political identity.
...At the end of the day, she is the establishment candidate and she just has to figure out how she
wears that,.. said Anna Greenberg, a Democratic pollster. ...It..È something to navigate. You can..È
shed it...
Asked whether Mrs. Clinton is discouraged by the setbacks she has encountered so far, her
strategists argue that the candidate, having been through her husband..È tumultuous presidential
campaigns and her own failed effort in 2008, always anticipated trying times and occasional
explosions.
...She has developed a thick skin and a very good perspective on how campaigns are going to go
and they are long, they are a hard slog and you are going to get attacked,.. Ms. Palmieri said.
Whether the blueprint her strategists are preparing will be enough to overcome Mrs. Clinton..È
weaknesses is an open question. Some pollsters have pointed to a likability problem with the
former first lady, and, in presidential contests, the more likable candidate typically wins.
Still, she is optimistic about her chances and upbeat most of the time, the aides said. Since
declaring her candidacy, Mrs. Clinton has embraced a rigorous diet (when staff members set up
a mouthwatering spread of barbecue after a stop in Arkansas, she chose to eat just a single
tomato), lost significant weight and thrown herself into yoga and weight training, giving her new
energy.
Asked about the most powerful moments of the past several months, her strategists pointed to
an impromptu exchange about race with an African-American owner of a smoothie stand in
Detroit that went largely uncovered by the news media and the New Hampshire gathering with
recovering drug addicts that evolved into something of a therapy session.
...That captured the essence of her leadership style,.. Mr. Mook said.
Asked about a moment they regret, Ms. Palmieri paused and then quickly settled on the rope
the campaign used to wall off reporters at a Fourth of July parade in New Hampshire that
became a symbol of Mrs. Clinton..È distance from the small town celebration. A less intrusive
rope had also been used to control crowds at other events.
The Brooklyn headquarters, located on the 11th floor of a high-rise, bustled with activity heading
into the Labor Day weekend. Young people, sitting on bean bag chairs, worked on their laptops
and cellphones. Bags of Hillary-branded snacks, like beet chips, were arrayed in front of a
volunteer hall of fame collage.
Mrs. Clinton was not present. The next day, she would end what may be the last vacation she
will have for a while, to hit campaign stops in Puerto Rico, New Hampshire and Iowa. Her
favorite part of the campaign is talking to voters, her aides said.
...Emails are not what voters are asking her about,..È.ÈMs. Palmieri said.
Find out what you need to know about the 2016 presidential race today, and get politics news
updates via Facebook, Twitter and the First Draft newsletter.",,,,,,,,22.71,8.75,5.52,3.23,13.68,12.45,4.93,3.52,4.46,1.35,6.81,6.05,0.12,0,0,0,2.23,1,0

6,0,"OTTAWA...A foreign policy debate between the three main party leaders vying for power highlighted wide gaps over how Canada should exercise its military might, work with its main allies and play a stronger role in the world.
Staged before a live audience of 3,000 people at Toronto..È Roy Thomson Hall, it featured a combative performance by Liberal Leader Justin Trudeau who accused Conservative Leader Stephen Harper of damaging the most important foreign relationship Canada has ... with the United States ... because of Harper..È inability to get along with those he disagrees with.
Trudeau assailed Harper for ...haranguing.. the U.S. administration over foot-dragging on whether to approve the Keystone XL pipeline, saying Harper has narrowed the Canada-U.S. relationship down to that single issue.
...The fact is that Canadians are sitting around worried about their jobs because we have a prime minister that doesn..È like Barack Obama,.. Trudeau charged in one of the sharpest exchanges of the evening.
Stung, Harper defended his record and his personal rapport with Obama.
...We have a great relationship with the U.S administration and I have a great relationship with President Obama and by the way, the Americans have never said otherwise and neither have we. This is just an invention...
Harper said he spoke directly to Obama about the pipeline in limbo, and ...he said to me there..È nothing he..È asking Canada to do; he..È going to make that decision based on his own assessment of American interests...
But the debate ... the fourth of the campaign so far ... largely turned into a bitter struggle between the Liberals and NDP over who is the most likely agent of change from the Conservatives, with New Democrat Leader Tom Mulcair trying to strike a contrast every chance he got.
The evening kicked off with a sharp Harper-Mulcair duel over when Canada should deploy its armed forces if not against a brutal foe like the so-called Islamic State ... a duel that soon developed into a three-way fight.
Mulcair said it was not a multilateral effort led by the United Nations or Canada..È NATO allies unlike the mission in Libya which the NDP backed. ...We understand that there will be times when we have to, either under the NATO charter or under our international obligations at the UN, use force,.. Mulcair said. ...We won..È shy away from that...
Harper retorted that although not a NATO-led mission, all Canada..È NATO partners support the fight against ISIS, and suggested his political rivals are naive. Canada still participates in peacekeeping around the world, but there ...is not a peacekeeping mission to be had right now in Iraq and Syria.. against the fundamentalist Islamist militias of ISIS, said Harper.
...Why we would abandon this mission is a question that goes begging...
The battle between Trudeau and Mulcair to define themselves as the leader with the policies most in line with Canadian values and traditions crystallized in fierce exchanges over the Liberals..Èsupport for controversial anti-terrorism amendments the Conservatives enacted in Bill C-51.
Mulcair savaged Trudeau, repeatedly suggesting the Liberal leader lacked political courage. He said the NDP is the only party that voted for Canadians..Èfreedoms and liberties against overarching state surveillance.
...I..È not afraid of Stephen Harper, I voted against C-51,.. he said to Trudeau.
Trudeau accused Mulcair of ...stoking fear.. in Canadians by suggesting that Canada is turning into a police state, with their rights being taken away.
The debate canvassed a range of issues with all leaders getting in sharp, partisan and sometimes personal jabs about issues from Arctic sovereignty, Russia..È occupation of Crimea in Ukraine, and Canada..È relationship with its main ally, the United States.
Trudeau scoffed at Harper..È claim to have defended Arctic sovereignty. ...The one thing they keep saying about you up there Mr. Harper is you..Èe big sled, no dogs...
Yet it was over Canada..È relationship to the U.S. that the three leaders clashed over climate change, trade and the American administration..È seeming reluctance to approve the Keystone XL pipeline proposal.
Harper said his government has worked ...with two radically different administrations in the U.S... under Republican and Democratic leaders, and worked ...productively with both...
...
At another point, Trudeau and Harper clashed sharply over the Conservatives..Èdecision to revoke the citizenship of an Islamic extremist who masterminded a plot to bomb downtown Toronto.
Harper defended the decision to strip citizenship from Zakaria Amara, saying, ...A few blocks from here, (he) would have detonated bombs that would have been on a scale of 9-11. This country has every right to revoke the citizenship of an individual like that...
Trudeau said the man ...should be in jail.. but, ...We have a rule of law in this country and you can..È take away citizenship because you don..È like what someone does...
Trudeau challenged Harper..È claim to have acted on climate change, saying that in the face of federal ...inaction,.. provinces took action themselves, such as when Ontario shut down the province..È coal plants.
Although Green Party Leader Elizabeth May was not invited to participate in the Munk Debate, she posted video responses to the questions on Twitter. Many of her answers, including on the Arctic and the Islamic State, referred to climate change as one of the greatest threats posed to Canada and the world.
",,,,,,,,26.85,8.35,4.4,3.95,16.25,11.63,4.85,2.93,3.39,2.37,4.85,4.29,0,0.11,0,0,3.95,1,0

7,0,"AMHERST, N.S....Stephen Harper..È Conservatives have taken a tumble in public support, new poll results reveal.
New polling released Monday night has the NDP on top with 33 per cent, the Liberals in second at 31 per cent and the Tories down to 26 per cent.
According to pollster Nik Nanos, the NDP have gained three points in the past month. The Liberals are up as well, jumping two points. However, the Tories have slid to third, dropping five points and losing their front-runner status.
Through the first half of this marathon election campaign, the Conservatives, Liberals and New Democrats had been tightly bunched in public support. But this most recent poll, done for the Globe and Mail and CTV News, shows the NDP and Liberals cementing their support at the expense of the Conservatives.
Though the Oct. 19 election day remains more than a month away, the new numbers will be jarring for the Conservatives. When Harper launched the campaign in early August ... making it one of the country..È longest and costliest elections in history ... he declared at the time that the economy and national security were the central issues facing Canadian voters.
Since then, his party struggled to get its message out as unexpected momentum-draining events batter it.
They started with damning revelations at the trial of former Conservative senator Mike Duffy that raised fresh questions about the involvement of Harper..È inner circle in the secret $90,000 payment to the senator.
Then new data confirming the Canadian economy was in a recession for the first half of 2015 undercut the Tory messaging on the economy.
Last week the migrant crisis in Europe was driven home by the worldwide circulation of photos of the tragic death of a young Syrian boy whose family had sought to come to Canada.
That put the spotlight on whether the Conservative government was doing enough to assist with the crisis and put Immigration Minister Chris Alexander in the hot seat.
Now it seems some of those headlines are starting to take their toll on Harper and his party as they endeavour to win a rare fourth mandate.
In Ontario, the polling has the Liberals ahead with 38 per cent, the Conservatives second with 32 per cent and the New Democrats in third with 25 per cent.
The survey results are based on a three-day rolling average of 1,200 voters, surveyed between Sept. 4 and 6. The margin of error is plus or minus 2.8 percentage points, 19 times out of 20.",,,,,,,,21.2,4.48,1.89,2.59,16.51,9.2,5.66,1.42,6.13,0.94,5.19,4.48,0,0,0,0,0,0,0

8,0,"OTTAWA...The Syrian refugee crisis dominated the federal election campaign trail Friday, as party-leaders traded barbs over whose approach is wrong-headed and endangers lives.
Stark differences emerged over the best approach to dealing with the human tide of refugees fleeing violence in Syria.
Conservative leader Stephen Harper slammed the other parties, aiming most of his criticism at NDP leader Thomas Mulcair, saying he has adopted a ...totally irresponsible position.. in suggesting ...we can resolve this crisis just with refugee policy...
Harper argued a three-prong approach is required: increasing the intake of refugees from the region, supplying humanitarian aid on the ground, and offering military support to fight Islamic State in Syria and Iraq.
...Anything else is inadequate and is a cop-out and this country will not do it,.. Harper said, to loud applause from party supporters in Whitehorse.
Earlier, the NDP leader dismissed Harper..È claim that military action is key. Mulcair insisted Canada has the resources to start processing 10,000 Syrian refugees ...before the end of this year,.. something the NDP platform promises to do.
NDP leader Thomas Mulcair pointed out that military action would not have saved the life of Alan Kurdi, 3, ""that poor boy on the beach...

GRAHAM HUGHES / CP

NDP leader Thomas Mulcair pointed out that military action would not have saved the life of Alan Kurdi, 3, ""that poor boy on the beach...

...We have the means to do that. We..Èe proven it in the past [that] when we want to do something we can do it,.. Mulcair said at a campaign event in Brossard, Que., on Friday.
...But military action would not have saved the life of that poor boy on the beach...
Liberal Party leader Justin Trudeau said Thursday that ...Canada must immediately accept 25,000 Syrian refugees, stop dragging its heels...
There are few details about how that plan should work. But, on Friday, Trudeau told reporters in Richmond Hill that what it takes is ...simply political will...
...We have done that in the past in moments of crisis. We can do that again...
All three party leaders, Harper, Mulcair and Trudeau have expressed their sorrow at both the images of the lifeless body of Alan Kurdi, a three-year-old Syrian boy on a Turkish beach and the mourning of his Canadian family in Coquitlam, B.C.
The governing Conservative party insisting that along with humanitarian aid and refugee policy, engagement in the military campaign against Islamic State in Syria and Iraq is a crucial to resolving the problem and to protecting Canada..È own security.
...We also have to do something about the root cause,.. said Harper.
...The NDP..È position on these things is deeply ideological, and it is deeply wrong and it is out of step with what Canadians believe...
However the Conservative government, which refugee advocacy groups suggest relies more heavily on private sponsorship of refugees than government-sponsorships, appears to have narrowed its focus to Kurdish Yazidis and Christian refugees fleeing persecution in the region.
Harper..È immigration minister Chris Alexander says the Conservative government, if re-elected, would allow in an ...additional 10,000 persecuted ethnic and religious minorities from the region...
Harper said Friday his approach is not based on a belief that Syrian refugees are a security threat, but he said ...there are issues of fairness.
...You want to make sure that of all the millions that could apply you..Èe bringing in the most vulnerable.
...Also this is a war zone so there are security things that have to be checked...
The Conservatives..Èproposed increase of 10,000 refugees would apply to Syrians and Iraqis, not just those from Syria where the population is fleeing both a brutal dictator in Bashar Assad, and the brutally violent insurgent Islamist group known as Islamic State, ISIL or ISIS, which is trying to claim territory for a fundamentalist Islamist state.
The NDP has targeted Syrian refugees in its plan.
It promises to ...get 10,000 government-sponsored refugees out of harm..È way and on the way to Canada by the end of this year by appointing a Syrian Refugee Coordinator, pulling resources from various departments, including Foreign Affairs, Citizenship and Immigration and other departments...
It calls for: boosting the presence of Canadian diplomatic and immigration officials in the region to accelerate processing of refugees; coordination with Turkey and other affected countries ...to remove bureaucratic obstacles to resettlement,.. and for treating ...all refugees equally...
The NDP, too, embraces private sponsorship of refugees, and promises to fast-track private sponsorship with no cap ...to bring as many people as possible to Canada... Mulcair says he will increase aid to humanitarian-assistance agencies, including the UNHCR, ...based on the needs on the ground...
Conservative Leader Harper, seeking a fourth term as prime minister, acknowledged Friday cases have to be processed more quickly.
...Look, we realize we have to bring in more and we have to do it more effectively and quickly...
But he gave no indication how much money he could commit to streamline the processing of applicants.
The Conservative record is facing tougher scrutiny after news that the Kurdi family had relatives in B.C. who were trying to bring the extended family to safety both in Canada and Europe.
The Harper government had set a target for Canada to accept 23,000 Iraqi refugees and 11,300 Syrians. Of that number, Canada has already resettled nearly 22,000 Iraqis. Just 2,300 Syrians have arrived.
Harper says the Conservative promises to accept 10,000 more from the region, spread over three years, are more generous than pledges made by other Western countries.",,,,,,,,22.85,8.22,2.35,5.87,14.41,11.85,4.8,2.45,3.42,2.13,4.7,6.4,0.21,0.11,0,0,4.7,0,0
